ts_unix_ms,ok,status_code,latency_ms,error
1779547234220,1,200,12.175,
1779547234222,1,200,17.341,
1779547234225,1,200,17.772,
1779547234225,1,200,16.607,
1779547234226,1,200,10.270,
1779547234226,1,200,9.843,
1779547234227,1,200,19.809,
1779547234228,1,200,15.492,
1779547234230,1,200,18.712,
1779547234230,1,200,9.224,
1779547234231,1,200,16.991,
1779547234232,1,200,27.183,
1779547234233,1,200,11.444,
1779547234234,1,200,14.176,
1779547234235,1,200,14.710,
1779547234235,1,200,9.458,
1779547234236,1,200,19.779,
1779547234237,1,200,9.031,
1779547234238,1,200,5.533,
1779547234239,1,200,13.104,
1779547234239,1,200,20.931,
1779547234240,1,200,5.114,
1779547234240,1,200,29.040,
1779547234242,1,200,14.464,
1779547234242,1,200,12.777,
1779547234244,1,200,10.503,
1779547234246,1,200,8.255,
1779547234246,1,200,9.235,
1779547234247,1,200,8.569,
1779547234249,1,200,22.462,
1779547234249,1,200,14.581,
1779547234250,1,200,7.938,
1779547234251,1,200,17.217,
1779547234251,1,200,25.915,
1779547234251,1,200,21.522,
1779547234253,1,200,13.464,
1779547234254,1,200,12.205,
1779547234255,1,200,23.950,
1779547234255,1,200,7.262,
1779547234257,1,200,7.185,
1779547234257,1,200,16.802,
1779547234257,1,200,6.316,
1779547234259,1,200,13.003,
1779547234261,1,200,21.593,
1779547234262,1,200,26.131,
1779547234262,1,200,9.386,
1779547234263,1,200,11.310,
1779547234263,1,200,8.832,
1779547234264,1,200,18.490,
1779547234266,1,200,15.486,
1779547234267,1,200,12.621,
1779547234267,1,200,17.175,
1779547234268,1,200,19.487,
1779547234271,1,200,15.889,
1779547234272,1,200,14.955,
1779547234272,1,200,7.719,
1779547234273,1,200,13.808,
1779547234273,1,200,11.360,
1779547234273,1,200,16.158,
1779547234274,1,200,11.766,
1779547234275,1,200,11.506,
1779547234275,1,200,18.221,
1779547234276,1,200,31.556,
1779547234277,1,200,15.430,
1779547234281,1,200,18.434,
1779547234282,1,200,11.439,
1779547234284,1,200,16.015,
1779547234284,1,200,8.097,
1779547234284,1,200,16.214,
1779547234285,1,200,12.490,
1779547234286,1,200,8.960,
1779547234287,1,200,13.488,
1779547234287,1,200,20.890,
1779547234287,1,200,14.356,
1779547234288,1,200,20.866,
1779547234288,1,200,12.734,
1779547234289,1,200,13.706,
1779547234290,1,200,18.647,
1779547234292,1,200,8.278,
1779547234292,1,200,10.002,
1779547234294,1,200,20.154,
1779547234294,1,200,20.449,
1779547234295,1,200,9.107,
1779547234296,1,200,12.551,
1779547234297,1,200,9.669,
1779547234300,1,200,14.890,
1779547234300,1,200,11.779,
1779547234300,1,200,8.554,
1779547234301,1,200,19.557,
1779547234301,1,200,13.702,
1779547234303,1,200,15.852,
1779547234303,1,200,14.173,
1779547234303,1,200,11.222,
1779547234304,1,200,9.187,
1779547234305,1,200,21.002,
1779547234306,1,200,5.750,
